number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
29,0.03798668048589392,2026-07-20 16:36:14.331141,2026-07-20 16:36:18.393143,0 days 00:00:04.062002,15.0,0.04,4,100,1.5,10.0,0.08,5,100,15.0,0.05,4,150,COMPLETE
30,0.03643079225718848,2026-07-20 16:36:18.493922,2026-07-20 16:36:23.387051,0 days 00:00:04.893129,10.0,0.02,5,150,1.0,2.0,0.04,7,100,20.0,0.03,5,150,COMPLETE
31,0.04276953832023124,2026-07-20 16:36:23.490323,2026-07-20 16:36:46.081745,0 days 00:00:22.591422,15.0,0.03,5,50,2.0,7.0,0.09,7,300,15.0,0.03,4,150,COMPLETE
32,0.040577858347671386,2026-07-20 16:36:46.219458,2026-07-20 16:37:05.033924,0 days 00:00:18.814466,15.0,0.03,5,50,2.0,9.0,0.1,7,250,15.0,0.02,4,150,COMPLETE
33,0.0411066603923009,2026-07-20 16:37:05.141757,2026-07-20 16:37:31.257281,0 days 00:00:26.115524,15.0,0.04,3,50,1.5,5.0,0.09,8,300,20.0,0.04,4,150,COMPLETE
34,0.04046285234886356,2026-07-20 16:37:31.400921,2026-07-20 16:37:45.366815,0 days 00:00:13.965894,15.0,0.02,5,100,2.0,9.0,0.08,6,200,15.0,0.03,4,150,COMPLETE
35,0.037830408610631056,2026-07-20 16:37:45.470285,2026-07-20 16:38:11.757185,0 days 00:00:26.286900,20.0,0.05,5,50,1.5,6.0,0.1,8,300,10.0,0.02,4,100,COMPLETE
36,0.03883681153732649,2026-07-20 16:38:11.873702,2026-07-20 16:38:15.922561,0 days 00:00:04.048859,10.0,0.03,6,50,0.5,10.0,0.06,6,100,25.0,0.03,3,150,COMPLETE
37,0.030840816161823104,2026-07-20 16:38:16.029822,2026-07-20 16:38:34.683114,0 days 00:00:18.653292,20.0,0.04,4,50,0.0,3.0,0.07,7,250,15.0,0.01,5,50,COMPLETE
38,0.04813910684878428,2026-07-20 16:38:34.786228,2026-07-20 16:39:01.186307,0 days 00:00:26.400079,15.0,0.02,6,150,2.0,7.0,0.09,8,300,30.0,0.05,5,150,COMPLETE
39,0.04928998635258276,2026-07-20 16:39:01.320651,2026-07-20 16:39:28.350117,0 days 00:00:27.029466,15.0,0.02,5,150,1.5,2.0,0.08,8,300,30.0,0.05,5,100,COMPLETE
40,0.03472027972027972,2026-07-20 16:39:28.478852,2026-07-20 16:39:34.928459,0 days 00:00:06.449607,15.0,0.01,3,200,2.0,1.0,0.08,8,150,30.0,0.05,5,100,COMPLETE
41,0.04083166080409989,2026-07-20 16:39:35.039609,2026-07-20 16:40:01.831274,0 days 00:00:26.791665,15.0,0.02,5,150,1.5,2.0,0.09,8,300,30.0,0.05,5,50,COMPLETE
42,0.04073654957930148,2026-07-20 16:40:01.978625,2026-07-20 16:40:29.429382,0 days 00:00:27.450757,15.0,0.02,5,150,1.5,4.0,0.09,8,300,30.0,0.05,5,150,COMPLETE
43,0.0423660244885571,2026-07-20 16:40:29.561538,2026-07-20 16:40:56.795157,0 days 00:00:27.233619,15.0,0.02,5,150,1.5,2.0,0.08,8,300,25.0,0.05,5,100,COMPLETE
44,0.041429816913687884,2026-07-20 16:40:56.915980,2026-07-20 16:41:23.580412,0 days 00:00:26.664432,15.0,0.02,5,200,1.0,9.0,0.08,8,300,30.0,0.05,5,150,COMPLETE
45,0.04077899223715108,2026-07-20 16:41:23.708101,2026-07-20 16:41:50.357026,0 days 00:00:26.648925,15.0,0.01,5,150,2.0,3.0,0.07,8,300,25.0,0.04,5,150,COMPLETE
46,0.038981410278482356,2026-07-20 16:41:50.485952,2026-07-20 16:42:16.599801,0 days 00:00:26.113849,10.0,0.02,4,150,1.5,10.0,0.09,8,300,30.0,0.04,5,100,COMPLETE
47,0.0354032822647085,2026-07-20 16:42:16.731277,2026-07-20 16:42:37.792305,0 days 00:00:21.061028,15.0,0.03,6,150,1.0,1.0,0.06,8,250,25.0,0.04,5,50,COMPLETE
48,0.03156930178703564,2026-07-20 16:42:37.916562,2026-07-20 16:42:43.945630,0 days 00:00:06.029068,15.0,0.02,6,200,2.0,4.0,0.08,5,150,30.0,0.05,5,150,COMPLETE
49,0.033830480473590024,2026-07-20 16:42:44.043794,2026-07-20 16:43:00.111932,0 days 00:00:16.068138,15.0,0.01,5,150,1.5,8.0,0.05,8,200,20.0,0.04,5,150,COMPLETE
50,0.039478571356868136,2026-07-20 16:43:00.239038,2026-07-20 16:43:23.090038,0 days 00:00:22.851000,5.0,0.03,5,100,0.5,2.0,0.09,8,250,25.0,0.05,5,150,COMPLETE
51,0.03297652000243578,2026-07-20 16:43:23.216274,2026-07-20 16:43:46.273842,0 days 00:00:23.057568,20.0,0.03,6,50,2.0,6.0,0.1,7,300,10.0,0.03,4,150,COMPLETE
52,0.036234599890186514,2026-07-20 16:43:46.417719,2026-07-20 16:44:06.214269,0 days 00:00:19.796550,20.0,0.03,6,100,2.0,7.0,0.1,7,250,15.0,0.01,4,150,COMPLETE
53,0.03597093323645445,2026-07-20 16:44:06.316522,2026-07-20 16:44:30.267517,0 days 00:00:23.950995,15.0,0.03,6,50,2.0,6.0,0.1,7,300,20.0,0.02,4,150,COMPLETE
54,0.03949157176951398,2026-07-20 16:44:30.439801,2026-07-20 16:44:49.118687,0 days 00:00:18.678886,10.0,0.04,6,150,2.0,5.0,0.09,6,250,10.0,0.03,4,150,COMPLETE
