number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
29,0.04107920722031877,2026-07-20 15:49:00.673278,2026-07-20 15:49:06.751431,0 days 00:00:06.078153,15.0,0.04,6,100,1.5,9.0,0.08,7,100,15.0,0.05,4,150,COMPLETE
30,0.03583320851240336,2026-07-20 15:49:06.866587,2026-07-20 15:49:12.651204,0 days 00:00:05.784617,10.0,0.02,4,50,1.0,2.0,0.06,6,150,25.0,0.05,4,50,COMPLETE
31,0.04170899200749571,2026-07-20 15:49:12.756708,2026-07-20 15:49:34.742455,0 days 00:00:21.985747,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
32,0.040138475346762736,2026-07-20 15:49:34.883613,2026-07-20 15:49:56.429012,0 days 00:00:21.545399,20.0,0.03,6,50,2.0,8.0,0.09,7,250,20.0,0.03,3,150,COMPLETE
33,0.03937432245746747,2026-07-20 15:49:56.555019,2026-07-20 15:50:18.464486,0 days 00:00:21.909467,20.0,0.03,6,50,2.0,7.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
34,0.03272690650048357,2026-07-20 15:50:18.610937,2026-07-20 15:50:48.882538,0 days 00:00:30.271601,20.0,0.02,3,100,2.0,5.0,0.09,8,300,15.0,0.03,4,100,COMPLETE
35,0.040879754138734015,2026-07-20 15:50:49.032219,2026-07-20 15:50:55.287769,0 days 00:00:06.255550,20.0,0.04,5,50,1.5,8.0,0.04,8,100,25.0,0.02,5,150,COMPLETE
36,0.038542989769289396,2026-07-20 15:50:55.404362,2026-07-20 15:51:13.093918,0 days 00:00:17.689556,20.0,0.03,6,50,2.0,9.0,0.1,7,200,10.0,0.04,5,150,COMPLETE
37,0.03982043148528108,2026-07-20 15:51:13.192409,2026-07-20 15:51:41.995228,0 days 00:00:28.802819,15.0,0.02,6,50,0.5,4.0,0.05,8,300,20.0,0.01,3,100,COMPLETE
38,0.04169330669330669,2026-07-20 15:51:42.128236,2026-07-20 15:51:58.555477,0 days 00:00:16.427241,15.0,0.04,5,100,0.0,5.0,0.08,6,200,25.0,0.03,3,100,COMPLETE
39,0.03749165441360919,2026-07-20 15:51:58.666256,2026-07-20 15:52:05.522151,0 days 00:00:06.855895,5.0,0.05,5,200,1.5,9.0,0.07,7,100,15.0,0.04,5,150,COMPLETE
40,0.026955237731023193,2026-07-20 15:52:05.640907,2026-07-20 15:52:23.269503,0 days 00:00:17.628596,20.0,0.01,3,50,2.0,2.0,0.09,5,250,20.0,0.02,3,150,COMPLETE
41,0.04170899200749571,2026-07-20 15:52:23.378581,2026-07-20 15:52:45.449334,0 days 00:00:22.070753,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
42,0.03807621228679839,2026-07-20 15:52:45.597211,2026-07-20 15:53:08.089944,0 days 00:00:22.492733,20.0,0.03,6,50,2.0,7.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
43,0.034732451667556966,2026-07-20 15:53:08.216500,2026-07-20 15:53:38.748794,0 days 00:00:30.532294,20.0,0.02,6,50,2.0,6.0,0.1,8,300,20.0,0.03,4,150,COMPLETE
44,0.034137326846175375,2026-07-20 15:53:38.887684,2026-07-20 15:54:00.729358,0 days 00:00:21.841674,20.0,0.04,6,50,1.5,8.0,0.09,7,250,25.0,0.04,4,150,COMPLETE
45,0.03613897942062266,2026-07-20 15:54:00.869238,2026-07-20 15:54:19.391860,0 days 00:00:18.522622,15.0,0.02,6,50,2.0,3.0,0.1,7,200,15.0,0.02,5,150,COMPLETE
46,0.03639263263873024,2026-07-20 15:54:19.500143,2026-07-20 15:54:35.455310,0 days 00:00:15.955167,20.0,0.03,6,150,1.5,10.0,0.08,6,200,20.0,0.03,3,100,COMPLETE
47,0.03683180699094807,2026-07-20 15:54:35.570300,2026-07-20 15:54:56.490797,0 days 00:00:20.920497,20.0,0.02,5,50,1.5,7.0,0.03,7,250,20.0,0.05,4,150,COMPLETE
48,0.033955943951138795,2026-07-20 15:54:56.621641,2026-07-20 15:55:22.233401,0 days 00:00:25.611760,20.0,0.03,6,100,2.0,8.0,0.09,7,300,30.0,0.03,4,100,COMPLETE
49,0.04485449585567754,2026-07-20 15:55:22.373471,2026-07-20 15:55:42.021174,0 days 00:00:19.647703,5.0,0.01,6,50,1.0,6.0,0.1,6,250,25.0,0.04,3,150,COMPLETE
50,0.030874091944157717,2026-07-20 15:55:42.125632,2026-07-20 15:55:57.324264,0 days 00:00:15.198632,5.0,0.01,6,50,0.5,6.0,0.05,6,200,25.0,0.04,3,100,COMPLETE
51,0.03617775072193269,2026-07-20 15:55:57.433173,2026-07-20 15:56:17.158240,0 days 00:00:19.725067,10.0,0.01,6,50,1.0,7.0,0.1,6,250,25.0,0.04,3,150,COMPLETE
52,0.037956366874443453,2026-07-20 15:56:17.266382,2026-07-20 15:56:37.428521,0 days 00:00:20.162139,5.0,0.01,6,50,1.0,7.0,0.1,6,250,20.0,0.05,3,150,COMPLETE
53,0.035173510417842335,2026-07-20 15:56:37.565138,2026-07-20 15:56:55.305401,0 days 00:00:17.740263,10.0,0.02,6,50,0.0,6.0,0.09,5,250,25.0,0.04,3,150,COMPLETE
54,0.03646795214724877,2026-07-20 15:56:55.407408,2026-07-20 15:57:12.552926,0 days 00:00:17.145518,5.0,0.01,6,50,1.5,8.0,0.07,7,200,20.0,0.05,3,150,COMPLETE
55,0.039818505280497796,2026-07-20 15:57:12.660995,2026-07-20 15:57:35.529488,0 days 00:00:22.868493,20.0,0.02,6,50,1.0,9.0,0.1,6,300,25.0,0.03,3,150,COMPLETE
56,0.03496363261899341,2026-07-20 15:57:35.677276,2026-07-20 15:57:41.650786,0 days 00:00:05.973510,15.0,0.04,5,100,0.5,6.0,0.1,5,150,30.0,0.05,3,150,COMPLETE
57,0.03365791961884648,2026-07-20 15:57:41.756745,2026-07-20 15:57:59.775103,0 days 00:00:18.018358,10.0,0.02,4,50,1.5,5.0,0.09,7,200,20.0,0.04,4,150,COMPLETE
58,0.038958617782092586,2026-07-20 15:57:59.881574,2026-07-20 15:58:19.448362,0 days 00:00:19.566788,15.0,0.03,5,50,1.5,4.0,0.08,6,250,25.0,0.03,3,150,COMPLETE
59,0.041324132806399655,2026-07-20 15:58:19.558220,2026-07-20 15:58:40.617649,0 days 00:00:21.059429,20.0,0.01,6,100,2.0,7.0,0.06,7,250,15.0,0.04,3,50,COMPLETE
60,0.03391209586741217,2026-07-20 15:58:40.753249,2026-07-20 15:58:46.779318,0 days 00:00:06.026069,20.0,0.03,6,50,1.5,8.0,0.04,5,150,25.0,0.05,4,150,COMPLETE
