,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_propensity_model__n_estimators,param_propensity_model__max_depth,param_propensity_model__learning_rate,param_propensity_model__l2_leaf_reg,param_outcome_model__n_estimators,param_outcome_model__max_depth,param_outcome_model__learning_rate,param_outcome_model__l2_leaf_reg,param_effect_model__random_strength,param_effect_model__n_estimators,param_effect_model__max_depth,param_effect_model__learning_rate,param_effect_model__l2_leaf_reg,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
64,24.1823894182841,0.39597679155463433,0.1722424030303955,0.016555946173028052,150,5,0.03,30.0,200,6,0.04,7.0,1.0,150,6,0.02,10.0,"{'propensity_model__n_estimators': 150, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 7.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 10.0}",0.046902882635552506,0.05313479775342447,0.04339239571797712,0.0478100253689847,0.004028711978551482,36
65,10.722061157226562,0.8318283105954792,0.16541838645935059,0.05101011846812767,100,3,0.01,30.0,150,5,0.07,10.0,0.5,150,4,0.03,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 150, 'outcome_model__max_depth': 5, 'outcome_model__learning_rate': 0.07, 'outcome_model__l2_leaf_reg': 10.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.03, 'effect_model__l2_leaf_reg': 10.0}",0.05005537098560356,0.051942935434971985,0.03890002731634909,0.04696611124564154,0.0057554036842734375,49
66,35.07812261581421,0.7058792915661911,0.14311480522155762,0.05631120291148328,50,4,0.05,30.0,250,8,0.1,2.0,1.0,100,6,0.03,10.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.05, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.1, 'outcome_model__l2_leaf_reg': 2.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.03, 'effect_model__l2_leaf_reg': 10.0}",0.052557394600288354,0.04174972314507197,0.034400938258327796,0.04290268533456271,0.007457042223391989,100
67,33.41343863805135,2.4668045708725765,0.19968589146931967,0.06780421644263755,50,4,0.03,20.0,300,6,0.060000000000000005,1.0,2.0,200,6,0.04,10.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.060000000000000005, 'outcome_model__l2_leaf_reg': 1.0, 'effect_model__random_strength': 2.0, 'effect_model__n_estimators': 200, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.04, 'effect_model__l2_leaf_reg': 10.0}",0.045041913758580104,0.052801828538039594,0.04603549766571369,0.047959746654111124,0.003447812830682652,34
68,13.115186055501303,0.4898911976109029,0.17522374788920084,0.03105735242254081,100,4,0.04,20.0,100,8,0.04,2.0,0.5,150,3,0.04,15.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 100, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 2.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.04, 'effect_model__l2_leaf_reg': 15.0}",0.04465831690612426,0.05550450383640235,0.039277658282483724,0.04648015967500344,0.006748677029046516,63
69,30.44274393717448,0.5485284031625552,0.17055281003316244,0.019751272715191948,50,4,0.01,10.0,300,7,0.05,6.0,2.0,150,6,0.02,15.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 10.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.05, 'outcome_model__l2_leaf_reg': 6.0, 'effect_model__random_strength': 2.0, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 15.0}",0.04471184797550376,0.056197733928407725,0.03955203867272247,0.046820540192211324,0.0069572374682718196,55
70,10.072576761245728,0.9180559223656876,0.1259443759918213,0.031237036606678367,50,4,0.01,25.0,100,7,0.08000000000000002,8.0,0.0,100,4,0.01,20.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 25.0, 'outcome_model__n_estimators': 100, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.08000000000000002, 'outcome_model__l2_leaf_reg': 8.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 20.0}",0.05047888599569794,0.054687078220174365,0.03616513113502408,0.04711036511696546,0.007927834115280974,45
71,43.19943571090698,0.06933527104148812,0.1529540220896403,0.05323725249714383,100,5,0.02,20.0,300,8,0.08000000000000002,10.0,1.0,200,5,0.04,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.02, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.08000000000000002, 'outcome_model__l2_leaf_reg': 10.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 200, 'effect_model__max_depth': 5, 'effect_model__learning_rate': 0.04, 'effect_model__l2_leaf_reg': 10.0}",0.04440753045404208,0.05641306634965293,0.033025051475634865,0.044615216093109956,0.009549246390172328,83
72,10.117968956629435,0.85218550453974,0.21045525868733725,0.0356772823461022,100,3,0.04,30.0,100,6,0.04,3.0,1.5,50,6,0.01,5.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 100, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 3.0, 'effect_model__random_strength': 1.5, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 5.0}",0.04140055118477115,0.05292850960053021,0.0368324813275705,0.04372051403762395,0.006772847863340908,92
73,35.85724631945292,0.46911190302607353,0.19168718655904135,0.013303946268580117,150,4,0.05,15.0,300,6,0.060000000000000005,9.0,2.0,200,4,0.01,5.0,"{'propensity_model__n_estimators': 150, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.05, 'propensity_model__l2_leaf_reg': 15.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.060000000000000005, 'outcome_model__l2_leaf_reg': 9.0, 'effect_model__random_strength': 2.0, 'effect_model__n_estimators': 200, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 5.0}",0.04797714843851114,0.054594975204326726,0.03917410444122457,0.047248742694687484,0.006316578449804461,42
